Ano;Mês;Código do Produto;Descrição do Produto;Região do Produtor;UF do Produtor;Código da Operação;Descrição da Operação;Volume(L)
2015;1;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUL;PR;1021004;PRODUÇÃO POR MISTURA;26905
2015;1;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUL;RS;1021004;PRODUÇÃO POR MISTURA;11244
2015;2;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;CENTRO OESTE;MT;1021004;PRODUÇÃO POR MISTURA;6920
2015;2;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;212267
2015;2;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;10077808
2015;2;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;9339078
2015;2;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUL;PR;1021004;PRODUÇÃO POR MISTURA;8140
2015;2;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUL;RS;1021004;PRODUÇÃO POR MISTURA;491735
2015;2;620101004;ISOLANTE TIPO A;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;32200
2015;2;620101004;ISOLANTE TIPO A;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;43677
2015;2;620301001;ÓLEOS LUBRIFICANTES MARÍTIMOS;CENTRO OESTE;MT;1021004;PRODUÇÃO POR MISTURA;264
2015;2;620301001;ÓLEOS LUBRIFICANTES MARÍTIMOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;2897910
2015;2;620401001;ÓLEOS LUBRIFICANTES FERROVIÁRIOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;512573
2015;2;620501001;CICLO OTTO;CENTRO OESTE;GO;1021004;PRODUÇÃO POR MISTURA;3688
2015;2;620501001;CICLO OTTO;CENTRO OESTE;MS;1021004;PRODUÇÃO POR MISTURA;126492
2015;2;620501001;CICLO OTTO;CENTRO OESTE;MT;1021004;PRODUÇÃO POR MISTURA;11452
2015;2;620501001;CICLO OTTO;NORTE;AM;1021004;PRODUÇÃO POR MISTURA;69288
2015;2;620501001;CICLO OTTO;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;7279038
2015;2;620501001;CICLO OTTO;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;24716299
2015;2;620501001;CICLO OTTO;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;12980849
2015;2;620501001;CICLO OTTO;SUL;PR;1021004;PRODUÇÃO POR MISTURA;156255
2015;2;620501002;CICLO DIESEL;CENTRO OESTE;MS;1021004;PRODUÇÃO POR MISTURA;28134
2015;2;620501002;CICLO DIESEL;CENTRO OESTE;MT;1021004;PRODUÇÃO POR MISTURA;1508
2015;2;620501002;CICLO DIESEL;NORTE;AM;1021004;PRODUÇÃO POR MISTURA;48000
2015;2;620501002;CICLO DIESEL;NORTE;PA;1021004;PRODUÇÃO POR MISTURA;20
2015;2;620501002;CICLO DIESEL;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;3470797
2015;2;620501002;CICLO DIESEL;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;14619845
2015;2;620501002;CICLO DIESEL;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;1843048
2015;2;620501002;CICLO DIESEL;SUL;PR;1021004;PRODUÇÃO POR MISTURA;42837
2015;2;620501002;CICLO DIESEL;SUL;RS;1021004;PRODUÇÃO POR MISTURA;6396
2015;2;620502001;MOTORES 2 TEMPOS;CENTRO OESTE;MT;1021004;PRODUÇÃO POR MISTURA;68
2015;2;620502001;MOTORES 2 TEMPOS;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;20474
2015;2;620502001;MOTORES 2 TEMPOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;741410
2015;2;620502001;MOTORES 2 TEMPOS;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;56960
2015;2;620502001;MOTORES 2 TEMPOS;SUL;PR;1021004;PRODUÇÃO POR MISTURA;3422
2015;2;620502001;MOTORES 2 TEMPOS;SUL;RS;1021004;PRODUÇÃO POR MISTURA;1710
2015;2;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;NORTE;AM;1021004;PRODUÇÃO POR MISTURA;66000
2015;2;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;5292836
2015;2;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;11461402
2015;2;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;6253620
2015;2;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUL;PR;1021004;PRODUÇÃO POR MISTURA;444898
2015;2;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUL;RS;1021004;PRODUÇÃO POR MISTURA;43548
2015;2;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;2894189
